Station,Lon,Lat
SM09,121.6224,24.0293
SM01,121.6318,24.0074
SM02,121.6196,23.9999
SM19,121.6131,24.0427
SM39,121.591,24.0389
SM06,121.5784,23.9312
SM40,121.6062,24.0315
SM37,121.6011,24.0395
